2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(8080) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(135) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(139) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(256) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(1025) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(1720) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(25) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(143) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(443) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(587) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(110) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(995) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(113) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(993) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-6-106100: access-list outside permitted tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(22) hit-cnt 1 first hit [0xafaafb8f, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(5900) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(8888) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(3306) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(21) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(53) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(3389) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(80) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(1723) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(8701) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(18040) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(999) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(2869) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
